Church Name,City,State,Country,Phone,Email,Website,Church Admin Title,Church Admin Name,
Covenant of Grace Presbyterian Church,North Port,FL,United States ,941-225-3945,pastor@izavet.org,www.izavet.org,Rev,Aleksey Zhuravlev ,
Word of Life Church,North Port,FL,United States ,941-421-8163,abrev45@gmail.com,wordoflife-npfl.net,Rev,Arnold Allen Brevick ,
Good Shepherd Presbyterian Church,Ocala,FL,United States ,352-291-9199,gspcofficeocala@gmail.com,www.gspcocala.com,Rev,Michael Rauls ,
Grace Presbyterian Church,Ocala,FL,United States ,352-629-1537,admin@gpcocala.org,www.gpcocala.org,Rev,Theo van Blerk ,
Hope Fellowship PCA,Ocala,FL,United States ,941-224-4629,josh@gspcocala.com,-,-, ,
Ocala Korean Presbyterian Church,Ocala,FL,United States ,352-867-0191,okpc21@gmail.com,ocalakpc.org,Rev,Sam Kim ,
Redeemer Community Church PCA,Ocala,FL,United States ,352-369-4422,Hello@rccocala.com,www.Rccocala.com,Rev,Charles G DeBardeleben,
Christ United Fellowship Orlando,Orlando,FL,United States ,407-708-3515,info@cuforlando.org,christunitedfellowship.org,Rev,Michael Aitcheson ,
Him Church of Orlando,Orlando,FL,United States ,909-802-0330,jspaek3@gmail.com,orlandohimchurch.org,Rev,Juseong Paek ,
La Vina,Orlando,FL,United States ,321-310-0983,pablo@lavinaorlando.org,lavinaorlando.org,-, ,
Lake Nona Presbyterian Church,Orlando,FL,United States ,407-573-2208,info@lnpca.church,www.lnpca.church,Rev,Angel Gabriel Roman Diaz ,
NewCity Orlando,Orlando,FL,United States ,-,newcity@newcityorlando.com,www.newcityorlando.com,Rev,Damein Schitter ,
Orlando Korean Presbyterian Church in America,Orlando,FL,United States ,407-509-1866,jaelee4christ@hotmail.com,www.okpca.com,Rev,Jae Lee ,
Pine Ridge Presbyterian Church,Orlando,FL,United States ,407-293-7298,pineridgepca@gmail.com,www.pineridgepca.org,Rev,William J Colclasure,
St. Paul's Presbyterian Church,Orlando,FL,United States ,407-647-7774,staff@stpaulsorlando.com,stpaulsorlando.com,Rev,Justin Borger ,
University Presbyterian Church,Orlando,FL,United States ,407-384-3300,upcoffice@upcorlando.org,upcorlando.org,Rev,Richard John Gilmartin ,
Coquina Presbyterian Church,Ormond Beach,FL,United States ,386-677-2041,info@coquinachurchpca.org,www.coquinachurchpca.org,Rev,Cornelius J Ganzel Jr,
Covenant Presbyterian Church,Oviedo,FL,United States ,407-542-0813,admin@cpcoviedo.com,cpcoviedo.com,Rev,Randall R Greenwald,
Covenant Church,Palm Bay,FL,United States ,321-727-2661,info@covenantpalmbay.org,www.covenantpalmbay.org,Rev,Jerry Klemm ,
New City Church,Palm Bay,FL,United States ,321-727 2661,Church419@soapboxsuperapp.com,newcitypalmbay.org,-, ,
Cornerstone Presbyterian Church,Palm Beach Gardens,FL,United States ,561-318-1634,office@cornerstone-pca.org,www.cornerstone-pca.org,Rev,Mark Murnan ,
Grace Presbyterian Church,Palm Coast,FL,United States ,904-675-9067,gpcpca@gmail.com,www.palmcoastgracepca.org,Rev,Daniel Wayne McManigal ,
Grace Community Presbyterian Church,Palm Harbor,FL,United States ,727-789-2124,office@gccpalmharbor.org,www.gccpalmharbor.org,Rev,Brent Allen Bergman ,
Old Cutler Presbyterian Church,Palmetto Bay,FL,United States ,305-238-8121,office@ocpc.org,www.ocpc.org,Rev,Dr Michael A,
Covenant Presbyterian Church,Panama City,FL,United States ,850-769-7448,info@covpca.com,covpca.com,Rev,Stephen B Tipton,
First Presbyterian Church,Panama City,FL,United States ,850-785-7423,fpcpc.32401@comcast.net,www.firstprespc.org,Rev,Heath Taws ,
Panama City Korean Church,Panama City,FL,United States ,850-769-8836,iamwatchingmovie@gmail.com,pckc.org,Rev,Zadok Hong ,
Fairfield Presbyterian Church,Pensacola,FL,United States ,850-455-7245,office@fairfieldpca.com,www.fairfieldpca.com,Rev,Rafael P LaGuardia,
McIlwain Memorial Presbyterian Church,Pensacola,FL,United States ,850-438-5449,info@mcilwainchurch.org,www.mcilwain.org,Rev,David L McIntosh Jr,
Pinewoods Presbyterian Church,Pensacola,FL,United States ,850-968-9342,info@pinewoodschurch.org,www.pinewoodschurch.org,Rev,Joel Treick ,
Warrington Presbyterian Church,Pensacola,FL,United States ,850-455-0301,office@wpca.net,www.wpca.net,Rev,Jerry R Robbins,
Florida Coast Church,Pompano Beach,FL,United States ,954-484-1999,info@floridacoastchurch.org,www.floridacoastchurch.org,Rev,Lawrence Calvin Trotter ,
Ponte Vedra Presbyterian Church,Ponte Vedra Beach,FL,United States ,904-285-8225,ghamby@pvpc.com,www.pvpc.com,Rev,Richard Cooper ,
Spruce Creek Presbyterian Church,Port Orange,FL,United States ,386-761-2902,scpca@cfl.rr.com,www.sprucecreekpca.org,Dr,Joshua D Owen,
Christ the King Presbyterian Church,Port St. Lucie,FL,United States ,618-444-6006,christthekingpsl@gmail.com,www.christthekingpsl.com,Rev,Jason Paugh ,
New Philadelphia Presbyterian Church,Quincy,FL,United States ,850-566-7015,nppcpastor@gmail.com,nppresbyterianchurch.com/,Rev,Matthew Creamer ,
Redeemer Presbyterian Church,Riverview,FL,United States ,813-741-1776,office@redeemerriverview.org,www.redeemerriverview.org,Rev,Craig A Swartz,
Saint Andrews Chapel,Sanford,FL,United States ,407-328-1139,info@sachapel.com,sachapel.com,Rev,Burk Parsons ,
Covenant Life Presbyterian Church,Sarasota,FL,United States ,941-926-4777,info@covenantlifepca.com,www.covenantlifepca.com,Rev,Kenneth A Aldrich,
Faith Presbyterian Church,Sarasota,FL,United States ,941-955-7074,info@faithsarasota.org,www.faithsarasota.org,Rev,Keith Ledford ,
New Creation Church,Sarasota,FL,United States ,941-233-8070,newcreationsrq@icloud.com,newcreationchurchsrq.com,Dr,Steve Jeantet ,
Covenant Presbyterian Church,Sebring,FL,United States ,863-385-3234,cpc@cpcsebring.org,www.cpcsebring.org,Rev,Paul C Hurst,
Christ the King Presbyterian Church,Seminole,FL,United States ,727-314-5176,ctkpcaseminole@gmail.com,christthekingpca.church,Rev,Samuel Lee Brewer ,
Christ Covenant Church,Southwest Ranches,FL,United States ,954-434-4500,brian@christcovenant.cc,www.christcovenant.cc,Rev,Brian L Kelso,
South Florida Chinese Bible Church,Southwest Ranches,FL,United States ,(786) 766-0301,Church444@soapboxsuperapp.com,https://www.sflcbc.org,-, ,
Good News Church,St. Augustine,FL,United States ,904-819-0064,goodnews@gnpc.org,goodnewsloves.com,Rev,Smiley Sturgis ,
Cross Creek Church,St. Johns,FL,United States ,904-287-4334,info@crosscreek.us,www.crosscreek.us,Rev,Keith Snow ,
City Church St. Petersburg,St. Petersburg,FL,United States ,727-490-9053,justin@citychurchstpete.org,www.citychurchstpete.org,Rev,Justin Conner Woodall ,
St. Petersburg Presbyterian Church,St. Petersburg,FL,United States ,727-329-6346,sppcinfo@stpetepca.org,www.stpetepca.org,Rev,Dr David L,
Grace Presbyterian Church,Stuart,FL,United States ,772-692-1995,info@gracestuart.com,www.gracestuart.com,Rev,Bernie van Eyk ,
Treasure Coast Presbyterian Church,Stuart,FL,United States ,772-223-8718,admin@treasurecoastpca.org,www.treasurecoastpca.org,Rev,Robert Edenfield ,
Westminster Presbyterian Church,Tallahasse,FL,United States ,850-894-4233,seanmcg86@aol.com,www.wpctlh.org,Rev,Sean McGowan ,
CenterPoint Church,Tallahassee,FL,United States ,850-222-4884,centerpoint@cptchurch.com,www.cptchurch.com,Rev,Brian Douglas ,
Cornerstone Presbyterian Church,Tallahassee,FL,United States ,850-668-9504,info@cornerstonepcatlh.com,cornerstonepcatlh.com,-, ,
Korean Cornerstone Presbyterian Church of Tallahassee,Tallahassee,FL,United States ,817-793-7297,joonyungjang@gmail.com,www.cskpc.org,Rev,Joon Jang ,
Wildwood Presbyterian Church,Tallahassee,FL,United States ,850-894-1400,info@wildwoodtlh.com,www.wildwoodtlh.com,Rev,David McNeely ,
Lighthouse Christian Fellowship,Tamarac,FL,United States ,954-872-3856,damon@lcfpca.org,lcfpca.org,Rev,Damon E Palmer,
Christ Central Presbyterian Church,Tampa,FL,United States ,813-774-3881,church@christcentralpca.org,www.christcentralpca.org,Rev,John K Keen,
Korean Open Church of Tampa Bay,Tampa,FL,United States ,813-362-4516,benrockface@gmail.com,-,-, ,
Tampa Bay Presbyterian Church,Tampa,FL,United States ,813-973-2484,office@tampabaypresbyterian.org,www.tampabaypresbyterian.org,Rev,Freddy Fritz ,
University Presbyterian Mission,Tampa,FL,United States ,601-497-3816,wright@upctampa.com,www.upctampa.com,Rev,Wright Busching ,
Westtown Church,Tampa,FL,United States ,813-855-2747,office@westtownchurch.org,www.westtownchurch.org,Rev,Cory Dean Colravy ,
Tampa somang Community Church,Temple Terrace,FL,United States ,201-705-8638,revivalq@gmail.com,www.tampachodae.org/,-, ,
Christ Community Church,Titusville,FL,United States ,321-269-2478,admin.cccoffice@gmail.com,www.ccctitusville.org,-, ,
Redeemer Presbyterian Church,Titusville,FL,United States ,321-264-0035,office@myredeemer.cc,www.myredeemer.cc,Rev,Gary Ginn ,
Auburn Road Presbyterian Church,Venice,FL,United States ,941-485-3551,office@arpca.org,www.arpca.org,Rev,Dwight L Dolby,
Christ the King Presbyterian Church,Vero Beach,FL,United States ,772-978-5848,info@ctkvb.org,www.ctkvb.org,Rev,Seth Wallace ,
Faith Presbyterian Church,Wauchula,FL,United States ,863-773-2105,bdriskell@earthlink.net,-,Rev,Brook T Larrison,
Christ Community Church PCA Palm Beach,Wellington,FL,United States ,561-793-1007,info@cccpalmbeach.com,www.cccpalmbeach.com,Rev,Peter A Bartuska,
Christ the King Chapel,Wesley Chapel,FL,United States ,352-842-6582,chuckwilliams3691@gmail.com,christthekingchapel.org,Dr,Charles Scott Williams ,
New Song,West Palm Beach,FL,United States ,561-421-0639,info@newsongwpb.com,newsongwpb.com,Rev,Ronnie Perry ,
Truth Point Church,West Palm Beach,FL,United States ,561-891-9973,info@truthpoint.org,www.truthpoint.org,Rev,Matthew Eusey ,
Seven Rivers Villages Church,Wildwood,FL,United States ,(864) 650-1465,sspeaks@sevenrivers.org,Sevenriversvillages.org,Rev,Stephen Speaks ,
CityChurch,Wilton Manors,FL,United States ,954-634-2489,info@citychurchftl.com,www.citychurchftl.com,Rev,Brad Douglas Schmidt ,
New Presbyterian Church,Wilton Manors,FL,United States ,954-946-4380,info@newpres.org,www.newpres.org,-, ,
St. John's Presbyterian Church,Winter Garden,FL,United States ,407 749 4022,info@stjohnspca.org,stjohnspca.com,Rev,Frank Cavalli ,
Cypress Ridge Presbyterian Church,Winter Haven,FL,United States ,863-325-9864,info@cypressridge-pca.org,www.cypressridge-pca.org,Rev,Rodney Barton ,
El Shaddai Community Church,Winter Haven,FL,United States ,863-258-2961,Church477@soapboxsuperapp.com,-,Rev,J Dony St,
Mercy Hill Mission,Winter Haven,FL,United States ,863-320-0450,tony@mercyhillmissionfl.com,www.mercyhillmissionfl.com,Rev,Anthony Elswick ,
Redeemer Winter Haven,Winter Haven,FL,United States ,863-298-9849,info@redeemerwinterhaven.org,www.redeemerwinterhaven.org,Rev,Drew Bennett ,
Lake Baldwin Church,Winter Park,FL,United States ,407-802-7100,hello@lakebaldwinchurch.com,www.lakebaldwinchurch.com,-, ,
Willow Creek Church,Winter Springs,FL,United States ,407-699-8211,info@willowcreekchurch.org,www.willowcreekchurch.org,Rev,Greg Doty ,
Grace Community Church,Yulee,FL,United States ,904-491-0363,office@gracenassau.com,www.gracenassau.com,Rev,David Bradsher ,
Northgate Presbyterian Church,Albany,GA,United States ,229-883-6946,northgatepres@outlook.com,northgatepresbyterian.com,Rev,John Albano ,
Faith Korean Presbyterian Mission,Alpharetta,GA,United States ,770-667-0969,Church484@soapboxsuperapp.com,-,Rev,Keun Tai Kim ,
Living Fellowship Church,Alpharetta,GA,United States ,334-329-9140,andrew@livingfellowshipchurch.org,livingfellowshipchurch.org,Rev,Andrew Harwell ,
Open Door Community Church,Alpharetta,GA,United States ,678-812-4578,info@opendoorcc.com,www.opendoorcc.com,-, ,
Sae Han Presbyterian Church of Atlanta,Alpharetta,GA,United States ,770-619-5340,jcsongsaehan@hotmail.com,-,Rev,Sang Chol Song ,
St. Andrews Presbyterian Church,Americus,GA,United States ,229-924-1772,saintandrewspca@gmail.com,www.saintandrewspca.com,Rev,Randy Saye ,
Good Shepherd Presbyterian Church,Athens,GA,United States ,706-670-9509,info@goodshepherdathens.com,goodshepherdathens.com,Rev,Morgan Angert ,
Oconee Fellowship,Athens,GA,United States ,706-352-9445,info@oconeefellowship.org,oconeefellowship.org,Rev,Clay Werner ,
Redeemer Presbyterian Church,Athens,GA,United States ,706-227-3344,office@redeemerathens.com,www.redeemerathens.com,Rev,Todd Lowery ,
Union Athens,Athens,GA,United States ,706-389-0468,office@unionathens.com,unionathens.com,Rev,Garrett Moore ,
Atlanta Westside Presbyterian Church,Atlanta,GA,United States ,404-567-5428,office@atlantawestside.org,www.atlantawestside.org,Rev,Walter H Henegar,
Brookhaven Presbyterian Church,Atlanta,GA,United States ,404-919-3569,admin@brookhavenpres.com,www.brookhavenpres.com,Rev,Zachary Bradley ,
ChristChurch Presbyterian,Atlanta,GA,United States ,404-605-0505,administrative@christchurchatlanta.org,www.christchurchatlanta.org,-, ,
Church of the Redeemer,Atlanta,GA,United States ,678-298-1150,info@redeemeratlanta.org,www.redeemeratlanta.org,Rev,Chris Hildebrand ,
City Church - Eastside,Atlanta,GA,United States ,404-856-0183,scott@citychurcheastside.org,www.citychurcheastside.org,Rev,Scott Armstrong ,
Intown Community Church,Atlanta,GA,United States ,404-633-8077,askintown@intown.org,www.intown.org,Rev,Clarence Dewitt Agan III ,
Kindred Hope Mission,Atlanta,GA,United States ,-,hbrown@kindredhopechurch.org,www.kindredhopechurch.org/,Rev,Howard A Brown,
Ponce Presbyterian Church,Atlanta,GA,United States ,678-782-9551,admin@poncechurch.org,poncechurch.org,Rev,Tolivar Wills ,
Westminster Presbyterian Church,Atlanta,GA,United States ,404-636-1496,church@wmpca.org,www.wmpca.org,Rev,Aaron D Messner,
Augusta Hope Church PCA,Augusta,GA,United States ,706-540-2757,kangnamhyun@gmail.com,-,Rev,Nam Hyun Kang ,
Cliffwood Presbyterian Church,Augusta,GA,United States ,706-798-2691,cliffwoodpca@cliffwoodpca.com,www.cliffwoodpca.com,Rev,Geoff Gleason ,
First Presbyterian Church,Augusta,GA,United States ,706-262-8900,churchoffice@firstpresaugusta.org,www.firstpresaugusta.org,Rev,Mike Hearon ,
Lakemont Presbyterian Church,Augusta,GA,United States ,706-736-5011,lakemontpca@gmail.com,www.lakemontpca.org,Rev,David A Vosseller,
Grace Presbyterian Church,Blairsville,GA,United States ,706-745-3653,office.gracepca@gmail.com,gracepcablairsville.org,Rev,Jon Jacobs ,
Savannah First Korean Presbyterian Church,Bloomingdale,GA,United States ,912-217-3518,savannahfpc@gmail.com,-,-, ,
Resurrection Presbyterian Church,Bogart,GA,United States ,706-338-9283,office@resurrectionathens.com,respresathens.com/,Rev,Jared Bryant ,
Redeemer Presbyterian Church,Brunswick,GA,United States ,205-451-5433,redeemerbrunswickevents@gmail.com,redeemerbrunswick.com,Rev,James R Shaw II,
Grace Community Church,Buford,GA,United States ,678-699-0586,sbull@gccb.org,www.gccb.org,Rev,Scott Bull ,
Cherokee Presbyterian Church,Canton,GA,United States ,770-704-9594,office@cherokee-pca.org,www.cherokee-pca.org,Rev,Clif Daniell ,
Grace Church,Canton,GA,United States ,678-493-9869,robie@gracecanton.org,www.gracecanton.org,Rev,K Robie Hembree,
King's Chapel Presbyterian Church,Carrollton,GA,United States ,678-890-1017,rscott@kcpchurch.org,www.kcpchurch.org,Rev,Andrew Hendley ,
Riverside Community Church,Cartersville,GA,United States ,470-315-2344,info@riversidecartersville.com,www.riversidecartersville.com,Rev,Jody Stancil ,
Grace Presbyterian Church,Cedartown,GA,United States ,770-546-9440,Church515@soapboxsuperapp.com,-,Rev,Jedediah Parks Turner ,
Christ Presbyterian Church,Clarkesville,GA,United States ,706-968-2867,cpcoffice@cpcclarkesville.org,www.cpcclarkesville.org,Rev,Hobie Wood ,
St. Andrews Presbyterian Church,Columbus,GA,United States ,706-327-7750,office@standrewscolumbus.org,standrewscolumbus.org,Rev,Wes Simmons ,
Westminster Presbyterian Church,Columbus,GA,United States ,706-323-4441,mitch@wpcpca.com,www.wpcpca.com,Rev,Mitchell A McGinnis,
Trinity Presbyterian Church,Covington,GA,United States ,770-787-7493,office@trinitypca.net,www.trinitypca.net,Rev,Robert S Rienstra,
GracePointe Church of Forsyth,Cumming,GA,United States ,470-297-8486,churchfamily@gracepointeforsyth.org,www.gracepointeforsyth.org,Rev,James Peter Nichols ,
The Vine Community Church,Cumming,GA,United States ,678-990-9395,tbarton@thevinecc.com,thevinecc.com,Rev,Tim Barton Jr ,
Restoration Presbyterian Church,Dacula,GA,United States ,678-804-9127,office@restpres.org,www.restpres.org,Rev,Scott Barber ,
Creekstone Church,Dahlonega,GA,United States ,706-867-1974,creekstonechurch@gmail.com,www.creekstonechurch.com,Rev,Rich S Good,
Grace Covenant Church - PCA,Dallas,GA,United States ,770-443-5550,office@gracecovenantpca.com,www.gracecovenantpca.com,Rev,David Donovan ,
Grace Presbyterian Church,Dalton,GA,United States ,706-226-6344,gracepcaoffice@gmail.com,www.gracedalton.org,Rev,Charles Wesley Parsons ,
Grace Presbyterian Church,Douglasville,GA,United States ,404-623-3461,Church526@soapboxsuperapp.com,www.grace-pca.net,Rev,David Gilbert ,
Covenant Presbyterian Church,Dublin,GA,United States ,-,Church527@soapboxsuperapp.com,covenantdublin.com,Rev,Jonathan Rowe ,
Icthus Presbyterian Mission,Duluth,GA,United States ,770-622-8833,icthuschurch@yahoo.com,-,Rev,Hyunkeun Kim ,
Old Peachtree Presbyterian Church,Duluth,GA,United States ,770-476-7945,office@oldpeachtree.org,www.oldpeachtree.org,Rev,Alan H Johnson,
Cartecay Gathering,East Ellijay,GA,United States ,706-633-0771,corey@ruralchurchdevelopment.com,www.cartecaygathering.com/,-, ,
Lake Oconee Presbyterian Church,Eatonton,GA,United States ,706-484-0600,lopc@lopc-pca.org,www.lopc-pca.org,Rev,Jeffrey R Birch,
"Christ Church, Presbyterian",Evans,GA,United States ,706-210-9090,secretary@ChristChurchPres.org,ChristChurchPres.org,Rev,Robert L Hendrick,
Redeemer Church,Evans,GA,United States ,706-854-9707,office@redeemerevans.org,www.redeemerevans.org,Rev,John D Fender,
Jubilee Fellowship,Fairburn,GA,United States ,-,Church534@soapboxsuperapp.com,www.jubileefellowshipatl.com/,Rev,Steven Gilchrist ,
Covenant Presbyterian Church,Fayetteville,GA,United States ,770-460-9450,office@covenantpres.net,www.covenantpres.net,Rev,Jamie Lambert ,
Redemption Fellowship Presbyterian Church,Fayetteville,GA,United States ,770-460-1220,info@redemptionfellowship.org,www.redemptionfellowship.org,Rev,Ray Causey ,
Chattanooga Valley Presbyterian Church,Flintstone,GA,United States ,706-820-2833,secretary@chattvalleypca.org,www.chattvalleypca.org,Rev,Dennis Louis ,
Chestnut Mountain Presbyterian Church,Flowery Branch,GA,United States ,770-967-3440,churchoffice@cmpca.org,www.cmpca.org,-, ,
Christ the King,Flowery Branch,GA,United States ,478-361-0507,admin@ctkbraselton.org,www.ctkbraselton.org,Rev,Buck Rogers ,
Dayspring Presbyterian Church,Forsyth,GA,United States ,478-994-4503,dayspringpcaforsyth@gmail.com,www.dayspringpca.com,Rev,David Martin ,
Salem Church,Franklin,GA,United States ,706-407-8783,info@salemchurch.us,salemchurch.us,Rev,William C Heard,
First Presbyterian Church,Ft. Oglethorpe,GA,United States ,706-866-2521,office@fpfo.org,www.fpfo.org,Rev,Ryan F Biese,
Westminster Presbyterian Church,Gainesville,GA,United States ,770-534-1078,deenab@wcpca.org,www.wcpca.org,Rev,Charlie Joseph Phillips ,
Chapel In The Gardens Presbyterian Church,Garden City,GA,United States ,912-964-5734,chapelrcm@gmail.com,www.chapelinthegardens.org,Rev,Daren L Russell,
Bethany Presbyterian Church,Greensboro,GA,United States ,706-817-9578,Church545@soapboxsuperapp.com,-,Rev,David Toller ,
Community Church Griffin,Griffin,GA,United States ,770-796-0390,ccg@churchgriffin.com,www.communitychurchgriffin.org,Rev,Joseph Wayne Arnold ,
Providence Presbyterian Church,Harlem,GA,United States ,706-556-1010,scot1715@att.net,-,Rev,Gordon D Crompton,
Reformation Presbyterian Church,Jefferson,GA,United States ,404-477-4531,admin@reformationpca.org,reformationpca.org,Rev,Jason Cunningham ,
Good News Presbyterian Church,Johns Creek,GA,United States ,404-509-3250,www.goodnewspca@gmail.com,goodnewspca.com,Rev,Brendon Lee ,
Joy of All Nations Church,Johns Creek,GA,United States ,678-667-1619,info@joyofallnations.org,www.joyofallnations.org,Rev,Tony Thomas ,
Perimeter Church,Johns Creek,GA,United States ,678-405-2000,Perimeter@Perimeter.org,www.Perimeter.org,Rev,Jeff Norris ,
Houston Lake Presbyterian Church,Kathleen,GA,United States ,478-987-7503,pbankson@houstonlakepres.org,www.houstonlakepres.org,Rev,Paul L Bankson,
Christ Community Church,Kennesaw,GA,United States ,478-718-7957,info@christcommunitycobb.org,www.christcommunitycobb.org,Rev,Cameron Barham ,
Highlands Presbyterian Church,LaFayette,GA,United States ,706-638-8940,pcahighlands@gmail.com,www.highlandspca.com,Rev,Thomas M May,
New City Church,Lawrenceville,GA,United States ,770-765-5285,Church555@soapboxsuperapp.com,www.newcitydtl.org,Rev,Ryan Johnson ,
OnBhit Nations Church,Lawrenceville,GA,United States ,-,stephenlee6640@gmail.com,-,Rev,Seung Jun Stephen Lee ,
Grace Han-Mee Presbyterian Mission,Lilburn,GA,United States ,770-921-2993,Church557@soapboxsuperapp.com,-,Rev,Kyung Joon Cho ,
Parkview Church,Lilburn,GA,United States ,770-279-1929,office@parkviewchurch.net,www.parkviewchurch.net,Rev,James Martin ,
Rock Creek Fellowship,Lookout Mountain,GA,United States ,706-398-7141,office@rockcreekfellowship.org,www.rockcreekfellowship.org,Rev,Eric Youngblood ,
Grace Community Presbyterian Church,Lyons,GA,United States ,912-526-6478,vidaliacommunity@gmail.com,www.gcpv.org/,Rev,Jason Davis ,
First Presbyterian Church,Macon,GA,United States ,478-746-3223,Church561@soapboxsuperapp.com,www.fpcmacon.org,Rev,George W Miller Jr,
Grace Community Church,Macon,GA,United States ,478-731-3313,GraceChurchMacon@aol.com,www.GraceChurchMacon.com,Rev,Robert F Veazey,
Macon Korean Presbyterian Church,Macon,GA,United States ,910-988-9771,hongjs3@gmail.com,www.kpcmacon.org,-, ,
North Macon Presbyterian Church,Macon,GA,United States ,478-477-7777,office@nmpc.net,www.nmpc.net,Rev,Richard Hunter Stevenson ,
Strong Tower Fellowship Mission,Macon,GA,United States ,478-742-7379,admin@strongtowermacon.com,www.strongtowermacon.com,-, ,
East Cobb Presbyterian Church,Marietta,GA,United States ,770-973-4114,admin@eastcobbpres.org,eastcobbpres.org,Rev,Tim R Locke,
Hope Presbyterian Church,Marietta,GA,United States ,770-971-4673,rev.hawley@gmail.com,www.hopepca.org,Rev,Martin Lee Hawley ,
Korean Covenant Presbyterian Church,Marietta,GA,United States ,770-565-4777,kcpc1988@gmail.com,www.ikcpc.org,Rev,Ilha Hwang ,
Covenant Presbyterian Church,Milledgeville,GA,United States ,478-453-9628,khbryan@gmail.com,covenantchurchmville.org,Rev,Kreg Bryan ,
Haynes Creek Church,Monroe,GA,United States ,770-639-6743,pastorjeffmorgan@gmail.com,www.haynescreekchurch.org,Rev,Jeff Morgan ,
Christ Presbyterian Church,Newnan,GA,United States ,770-252-0110,drew@cpcnewnan.com,www.cpcnewnan.com,Rev,Drew Archer ,
Saebit Korean Presbyterian Church,Newnan,GA,United States ,404-200-6378,cdapc@hotmail.com,mysaebit.org,Rev,Ik Joon Park ,
Atlanta Siloam Church,Norcross,GA,United States ,770-638-1600,siloamchurch@gmail.com,atlantasiloamchurch.org,Rev,Wonyul Park ,
Grace Emmanuel Mission,Norcross,GA,United States ,-,Church574@soapboxsuperapp.com,www.grace-emmanuel.org/,Rev,Hung Truong ,
Solus Presbyterian Church,Norcross,GA,United States ,470-989-9266,writepastorjohn@gmail.com,-,Rev,Sungyak John Kim ,
Wheat Mission in Atlanta,Norcross,GA,United States ,770-717-0790,Church576@soapboxsuperapp.com,-,Rev,Jae Huy Choi ,
Carriage Lane Presbyterian Church,Peachtree City,GA,United States ,770-631-4618,info@carriagelanepres.org,www.carriagelanepres.org,Dr,James Bruce ,
Christ Covenant Presbyterian Church,Peachtree Corners,GA,United States ,770-880-5159,ykchoi11@yahoo.com,-,Rev,Young Kyu Choi ,
Mustard Seed Fellowship,Peachtree Corners,GA,United States ,404-428-8242,Church579@soapboxsuperapp.com,-,-, ,
New Church of Atlanta,Peachtree Corners,GA,United States ,770-447-6663,newchurch.ask@gmail.com,www.newchurchatl.net,Rev,Youngchun Cho ,
Penfield Presbyterian Church,Penfield,GA,United States ,706-453-2038,Church581@soapboxsuperapp.com,-,-, ,
Perry Presbyterian Church,Perry,GA,United States ,478-987-1403,perrypresbyterianchurch@gmail.com,www.perrypres.org,-, ,
First Presbyterian Church,Pooler,GA,United States ,912-330-9415,crystal@firstprespooler.com,www.fpcpooler.org,-, ,
Midway Presbyterian Church,Powder Springs,GA,United States ,770-422-4974,church.office@midwaypca.org,www.midwaypca.org,Rev,David W Hall,
New Covenant Presbyterian Church,Richmond Hill,GA,United States ,912-312-5051,newcovpres@gmail.com,www.newcovpres.com,Rev,David Senters ,
Seven Hills Fellowship,Rome,GA,United States ,706-820-0083,info@sevenhillsfellowship.com,www.sevenhillsfellowship.com,Rev,Bryan Lee Pierce ,
Christ Fellowship,Roswell,GA,United States ,-,connect@gatheredbygrace.com,gatheredbygrace.com,Rev,Jason Crenshaw ,
Westminster Japanese Church,Roswell,GA,United States ,470-854-1179,wjc.tozawa@gmail.com,www.westminsterjapanesechurch.org,-, ,
First Presbyterian Church,Sandersville,GA,United States ,-,Church589@soapboxsuperapp.com,-,-, ,
Grace Church of the Islands,Savannah,GA,United States ,912-898-0170,office@gcipca.org,www.gcipca.org,Rev,Tim Paul Foster ,
The Kirk Presbyterian,Savannah,GA,United States ,912-355-3141,kirkoffice@kirkpca.org,www.kirkpca.org,Rev,Pete Whitney ,
South Liberty Presbyterian Church,Sharon,GA,United States ,706-456-2930,Church592@soapboxsuperapp.com,-,-, ,
Smyrna Presbyterian Church,Smyrna,GA,United States ,770-435-2251,info@smyrnapres.org,www.smyrnapres.org,Rev,Joel Smit ,
Golden Isles Presbyterian Church,St. Simons Island,GA,United States ,912-638-2563,office@gipc-pca.org,www.gipc-pca.org,Rev,Alexander Brown ,
Trinity Presbyterian Church,Statesboro,GA,United States ,912-489-8186,info@tpcstatesboro.com,www.tpcstatesboro.com,Rev,Jim McCarthy ,
The Rock Presbyterian Church,Stockbridge,GA,United States ,770-389-8008,pastorjohnstovall@gmail.com,www.therockpca.org,Rev,John Stovall ,
Atlanta Matupi Community Church,Stone Mountain,GA,United States ,-,aunglaimatu@gmail.com,-,Rev,Dr Aung Lai Matu,
Grace Shalom,Stone Mountain,GA,United States ,404-292-5514,graceshalomsm@gmail.com,-,-, ,
First Presbyterian Church,Summerville,GA,United States ,706-857-4338,info@firstprespca.org,www.firstprespca.org,-, ,
Atlanta Saints Presbyterian Church,Suwanee,GA,United States ,770-887-2711,humbleofman@gmail.com,-,-, ,
Atlanta the Dream Church,Suwanee,GA,United States ,678-761-4479,yesmankbs@gmail.com,www.youtube/@atlantadreamchurch,Rev,Bong Sung Kim ,
Coram Deo Presbyterian Church,Suwanee,GA,United States ,678-549-1256,Church602@soapboxsuperapp.com,-,Rev,Sung Bong Bick ,
